medium_multiplier,high_multiplier,balanced_accuracy
1.02,2.39,0.9713121463059751
1.06,2.43,0.9713117921310603
0.88,2.01,0.9713117018600806
1.08,2.57,0.9713111356421793
0.92,1.73,0.9713110668758119
0.8,1.47,0.9713110484373284
1.02,1.91,0.9713107311393808
1.16,2.15,0.9713106443229033
1.16,1.97,0.9713087297833374
1.04,1.95,0.9713086913733059
0.9,1.69,0.9713086011023261
1.14,2.61,0.9713085646137323
0.78,1.43,0.9713081566564314
1.16,2.71,0.971307731037394
0.8,1.39,0.9713074483066021
0.92,2.11,0.9713071963205197
1.1,2.61,0.9713066301026184
0.96,2.29,0.9713065398316386
0.86,1.49,0.9713062605553491
0.98,1.59,0.9713062271328843
0.92,1.69,0.9713057811539253
0.88,2.09,0.9713056878168166
1.04,2.75,0.9713052787148247
1.08,1.87,0.9713051630750759
0.8,1.53,0.9713050343940646
1.0,2.29,0.9713043948106025
0.94,2.11,0.9713043763721191
0.82,2.17,0.9713043364290231
0.86,1.97,0.9713043045396228
0.78,1.75,0.9713042861011392
0.96,1.77,0.9713041673952615
1.04,2.79,0.9713035931236645
0.98,2.25,0.9713035427957806
1.06,1.95,0.9713034056514194
0.88,1.61,0.9713033153804395
1.1,1.93,0.9713033003964583
1.08,2.47,0.9713032070593495
1.0,1.83,0.9713029796440084
0.92,1.49,0.9713029093445765
1.12,2.65,0.9713025505704684
0.96,1.81,0.9713024818041012
1.04,1.83,0.9713024483816364
0.94,1.61,0.971302003935742
1.12,1.91,0.9713009064554686
1.02,2.43,0.9713008465408247
0.96,1.67,0.9713005672645352
1.08,2.03,0.971300106301595
0.86,1.39,0.9713000175636797
0.8,1.49,0.971299748672178
1.04,2.33,0.9712995350961271
1.16,2.17,0.9712993445577528
0.92,2.47,0.9712989973131237
0.96,2.21,0.9712986112488089
0.94,2.19,0.9712983623288552
1.06,1.69,0.9712978909811273
1.02,1.79,0.9712975168346646
0.8,2.15,0.97129729328348
1.0,1.91,0.9712969656007445
1.0,1.71,0.9712967366523388
0.86,1.47,0.9712966463813592
1.04,1.91,0.9712964343383725
0.9,1.65,0.9712963440673926
0.8,1.41,0.9712961485414517
1.0,2.35,0.9712957379063955
0.78,1.79,0.9712956291969322
1.06,1.87,0.9712954770685895
1.16,2.65,0.9712954740024605
0.8,1.51,0.9712954202200746
0.98,1.81,0.9712951563161396
0.86,1.51,0.9712949607901988
0.88,1.65,0.9712946584762324
1.1,1.97,0.9712946434922513
0.94,2.53,0.971294491773563
0.98,1.73,0.9712941990463566
0.98,1.85,0.9712934707249793
1.14,2.09,0.9712932068210445
1.16,2.03,0.9712931015660834
1.12,2.63,0.9712929363964783
0.78,1.47,0.9712925284391777
0.8,1.91,0.9712925069345651
1.06,2.53,0.9712918354617028
0.86,2.05,0.971291319183312
1.16,1.87,0.9712911870265174
0.8,1.37,0.9712908628195652
1.08,2.01,0.971290492127605
0.94,2.25,0.9712897054246481
1.16,2.75,0.9712894599591967
0.96,2.53,0.9712894549716301
0.94,2.17,0.9712887481548652
1.02,1.65,0.9712886309820518
0.82,1.51,0.971288520739524
0.96,2.31,0.9712882687534415
0.82,1.93,0.9712882503149579
0.92,2.07,0.9712879679725394
0.78,1.89,0.9712879295625081
1.14,1.95,0.971286963829375
1.06,2.47,0.9712865497398164
1.12,2.05,0.9712862355079976
0.82,1.33,0.971285648930175
0.92,2.23,0.9712855540600019
1.02,1.95,0.9712854887481367
0.84,1.93,0.9712854303665573
1.08,1.75,0.9712849774573127
1.02,1.87,0.9712845314783539
0.94,1.53,0.971284461178922
0.98,2.21,0.9712843144478005
1.04,2.39,0.9712839068788731
1.16,2.01,0.9712834873920934
1.04,1.99,0.9712834489820619
1.12,1.81,0.9712833636986488
1.14,1.85,0.9712833636986488
0.92,2.21,0.9712829111990585
0.86,2.31,0.9712821629061333
1.1,2.07,0.9712816581359406
1.16,2.21,0.9712810734795557
1.02,1.77,0.9712809313476276
1.08,1.99,0.9712808779536148
1.06,2.55,0.9712805356965525
0.84,1.89,0.9712801446446707
0.98,2.23,0.971279985995697
1.1,1.91,0.9712797435963746
1.04,1.69,0.97127961990293
0.92,1.47,0.9712793525444928
1.04,1.81,0.9712788915815526
1.06,2.39,0.9712786211569866
