medium_multiplier,high_multiplier,balanced_accuracy
1.2,2.05,0.9709013082412223
0.95,1.625,0.9709012179702426
1.1,1.875,0.9709004562264004
1.15,2.25,0.9709002057733823
1.125,2.2,0.9708997797659714
0.975,1.9,0.9708978986488702
1.05,1.775,0.9708973873580461
1.25,2.3,0.9708968545626098
0.8,1.8,0.9708966525160375
0.875,1.625,0.9708940495981904
1.1,2.25,0.9708939428101648
1.1,2.05,0.9708937138617592
1.05,2.15,0.9708935168027538
1.125,1.9,0.9708933078258962
0.9,1.7,0.9708921869195727
0.825,1.425,0.9708911059563453
1.025,1.775,0.970890770219914
1.0,2.175,0.970890073787937
0.925,1.6,0.9708899182050921
1.225,2.1,0.9708898313886145
1.1,2.075,0.9708893854096555
1.025,2.1,0.970888585255782
0.925,1.725,0.9708875042925545
0.95,1.775,0.9708875042925545
0.85,1.575,0.9708866522777325
0.85,1.45,0.970886423329327
1.05,1.8,0.9708860875928957
1.225,2.125,0.9708855029365111
0.8,1.35,0.9708853942270478
0.925,2.1,0.970884591007045
1.1,2.025,0.9708840996877691
0.975,2.0,0.9708832277013992
0.975,1.825,0.9708829987529937
0.875,1.65,0.97088274983304
0.975,1.95,0.9708822704316162
0.875,1.9,0.9708822504600683
1.125,1.925,0.9708820080607459
0.875,1.975,0.9708815221386909
0.975,1.875,0.9708813131618333
1.0,2.05,0.9708811879353242
1.0,2.0,0.9708802306655414
0.975,1.925,0.9708796275706729
0.975,2.125,0.9708781709279184
1.125,2.125,0.9708779085570479
1.075,2.225,0.9708777114980426
1.125,1.95,0.9708776796086424
0.95,1.65,0.9708759755789984
1.1,2.275,0.9708756717319676
0.95,1.95,0.9708737906148664
0.875,1.5,0.9708729067106443
0.95,1.9,0.9708728333450836
1.0,1.925,0.9708723020827116
0.9,1.775,0.9708722302502153
0.95,1.825,0.9708718760753006
1.0,2.275,0.9708710743883625
1.0,1.975,0.9708706164915513
0.95,1.875,0.9708701904841402
1.0,2.075,0.970869888170174
0.925,1.75,0.9708692332143573
0.95,1.8,0.9708692332143573
1.0,2.025,0.970868930900391
1.125,2.1,0.9708682943830579
1.05,2.175,0.9708682744115098
0.9,1.8,0.9708679017981118
1.05,1.825,0.9708678165146987
1.075,2.15,0.9708671400542697
1.0,1.875,0.9708670163608252
1.025,2.05,0.9708667140468586
0.975,1.6,0.9708652270477681
1.05,2.1,0.9708646742807837
1.15,2.175,0.9708643919383654
0.975,1.975,0.970863999353419
0.8,1.575,0.9708639809149355
0.925,1.825,0.9708632191710934
0.875,1.725,0.9708627931636826
0.85,1.675,0.9708623671562715
1.2,2.275,0.9708623521722903
0.9,1.85,0.9708618877548479
1.15,2.15,0.970861749077422
0.95,2.15,0.9708610342069615
1.25,2.175,0.9708600834578097
1.175,2.225,0.9708598863988044
0.925,1.85,0.9708588907189899
1.1,2.2,0.9708581289751478
0.975,2.025,0.9708579853101552
1.175,2.075,0.9708579718592385
0.925,1.775,0.9708579334492069
0.825,1.875,0.9708578935061111
0.975,1.85,0.9708577563617496
0.825,1.625,0.9708574356092997
1.175,2.2,0.9708572435378612
1.15,2.0,0.9708571916769128
1.025,2.025,0.9708570998728686
0.95,2.025,0.9708564768064522
1.025,2.125,0.9708563715514913
1.075,2.175,0.9708558402891193
1.0,1.9,0.9708557165956746
1.025,2.075,0.9708554142817083
1.025,1.725,0.970854956384897
0.95,1.925,0.9708545622668864
0.85,1.475,0.9708542096250362
0.95,1.6,0.970854104370075
1.15,2.3,0.9708540494429979
0.85,1.85,0.9708539392004701
1.25,2.05,0.9708538404661402
1.125,2.25,0.970853623435587
1.05,2.125,0.9708533745156332
1.225,2.15,0.9708532892322203
0.95,2.1,0.9708531056241316
0.925,1.9,0.9708528766757261
1.2,2.25,0.9708527379983002
1.075,2.25,0.9708524691067987
0.975,2.225,0.9708522002152971
1.025,1.8,0.9708515852025764
0.875,1.75,0.970851493398532
0.9,1.475,0.9708508584142636
0.975,1.7,0.9708505561002972
1.1,2.3,0.9708504293407237
0.9,1.825,0.9708496307199145
1.25,2.2,0.9708487836926594
