medium_multiplier,high_multiplier,balanced_accuracy
1.075,2.2,0.9711235716663632
1.15,1.975,0.9711230603755391
0.825,1.575,0.9711229316945279
0.825,1.4,0.9711227027461223
0.925,1.6,0.9711225440971484
0.875,1.725,0.9711220981181894
1.1,2.05,0.9711220831342082
0.875,2.2,0.9711218276936234
1.0,1.95,0.97112115928689
0.975,2.075,0.9711207851404273
0.875,1.775,0.9711204125270291
1.025,2.075,0.971120076790598
0.9,1.725,0.9711197041771998
0.925,1.9,0.9711194018632333
0.8,1.775,0.9711193634532019
1.025,1.775,0.9711188905724093
0.85,1.45,0.9711186232139722
0.875,1.625,0.9711184979874633
0.975,2.25,0.9711183712278898
0.875,1.925,0.9711179986144916
0.825,1.525,0.9711176459726413
0.875,1.55,0.9711175407176803
0.9,2.075,0.9711175192130678
0.875,2.225,0.9711174992415198
1.075,2.05,0.9711173286746937
0.8,1.475,0.9711172199652304
1.075,1.825,0.9711170997262881
1.1,2.25,0.9711170263607274
0.975,1.9,0.9711162277399182
0.975,2.225,0.9711157283669465
0.925,2.3,0.971115531307941
0.825,1.7,0.9711152320601038
0.95,1.925,0.9711147192362152
0.875,2.025,0.971114627432171
1.175,2.025,0.9711140492964173
1.075,2.175,0.971113957492373
0.95,1.85,0.9711137619664322
0.85,1.575,0.9711135664404914
0.925,1.575,0.9711129299231583
1.0,2.2,0.9711127313310884
0.95,1.575,0.9711125757482436
0.9,1.775,0.9711110472729927
0.825,1.725,0.971110903608
0.85,2.2,0.9711108821033877
0.85,1.675,0.9711101952581709
1.0,1.975,0.9711098595217397
1.1,2.0,0.9711098260992749
0.925,1.875,0.9711097876892434
0.9,1.825,0.9711093616818324
1.05,1.95,0.9711091511719102
0.925,1.8,0.9711088304194604
0.8,1.7,0.9711087920094288
1.125,2.075,0.9711083894280682
1.25,2.125,0.9711073269033242
0.85,1.475,0.9711073234488219
1.05,2.175,0.9711067372593728
1.1,1.9,0.9711062259685486
0.925,1.775,0.9711061875585171
1.125,2.3,0.9711059755155306
0.925,2.275,0.9711059171339511
1.0,1.775,0.9711053021212305
1.025,2.0,0.9711051768947213
0.975,1.925,0.9711049279747677
1.025,1.9,0.9711042196249385
1.025,1.7,0.9711039906765327
1.1,2.1,0.971103812056011
1.05,2.05,0.9711031371286465
0.95,1.875,0.9711024622012818
0.8,1.525,0.9711015917479764
0.85,1.725,0.9711015383539636
1.025,2.025,0.9711008484426178
0.925,2.225,0.9711006314120646
1.1,2.225,0.9711004408736903
0.825,1.625,0.9711003321642271
0.825,2.075,0.9711000617396611
0.9,1.6,0.9710995185594368
1.05,2.075,0.9710988086765427
0.925,2.2,0.9710979885511213
1.175,2.25,0.9710976927577861
0.925,1.825,0.97109753065431
1.175,2.0,0.9710974638093806
0.95,1.825,0.9710971764793953
1.0,2.075,0.971096874165429
1.025,1.825,0.9710962910421087
1.075,2.225,0.9710956864141759
1.2,2.075,0.9710956011307629
1.025,1.75,0.9710953337723257
1.025,2.125,0.971094834399354
1.15,2.125,0.9710944468019745
0.8,1.65,0.9710938921135522
1.125,2.15,0.9710927612108143
1.15,2.2,0.9710927612108143
1.15,1.95,0.9710925322624085
0.975,2.025,0.9710919426184571
1.1,2.3,0.9710917839694834
0.825,1.675,0.9710916752600199
0.8,2.05,0.971090978828043
0.9,1.475,0.9710906327068239
1.0,1.925,0.9710906311737594
1.1,1.875,0.9710896404815118
0.95,1.975,0.9710894768449713
1.125,2.275,0.9710893900284937
1.1,2.275,0.97108914110854
0.8,1.325,0.9710891057646375
1.05,1.825,0.9710889655541471
0.825,2.1,0.9710887619745107
1.225,2.125,0.971088629817716
0.9,1.625,0.9710882187942863
1.225,2.275,0.9710879014963387
0.825,1.35,0.9710868889111052
1.025,1.8,0.9710866768681186
1.05,2.025,0.9710865516416095
0.8,1.9,0.9710864214275338
1.2,2.3,0.9710862159051784
0.975,1.875,0.9710856996267877
0.95,1.65,0.9710856477658393
1.175,2.175,0.9710854357228528
0.875,2.25,0.971085285537229
1.05,1.85,0.9710846371020437
0.975,1.6,0.971084513408599
0.925,1.625,0.9710833590798108
1.05,1.9,0.9710829515108833
0.8,1.825,0.9710828212968075
0.925,2.25,0.9710823603338673
1.025,1.975,0.9710816200946377
1.25,2.075,0.9710811272422971
1.075,2.125,0.9710807865182992
1.05,1.875,0.97108030864994
1.225,2.175,0.9710799729135089
1.2,2.125,0.9710799729135089
0.9,1.675,0.9710795618900793
0.9,2.175,0.9710792914655132
0.825,1.45,0.971079189276681
0.8,1.575,0.9710789922176758
0.8,1.85,0.9710784928447039
0.85,2.05,0.9710784394506913
1.175,1.95,0.9710782354614004
1.075,2.1,0.971078143657356
0.875,1.525,0.9710773984305597
1.1,1.825,0.9710773834465783
0.9,2.2,0.9710749630134096
0.925,1.675,0.9710747021756037
0.95,1.675,0.971074348000689
1.125,1.95,0.9710742611842114
0.85,2.075,0.9710741109985878
1.2,2.225,0.9710739588702451
1.25,2.225,0.9710734276078731
0.925,1.65,0.9710720593146603
1.05,1.725,0.9710714227973273
0.925,1.925,0.9710706026719057
0.9,1.875,0.9710701766644947
0.95,1.7,0.9710700195485854
1.1,1.95,0.9710696838121543
0.85,2.025,0.9710688252767011
1.075,2.075,0.971068529483366
0.8,1.925,0.9710681503493367
0.825,1.475,0.9710678895115308
1.1,1.8,0.9710677692725884
1.1,2.175,0.9710672698996167
0.975,1.7,0.9710671996001848
0.9,2.25,0.9710663061092024
0.85,2.125,0.9710654540943806
1.2,2.05,0.9710650730176323
1.075,1.95,0.9710649293526398
1.25,2.2,0.9710638134338829
0.8,1.625,0.9710633640004218
1.075,2.0,0.9710632437614795
0.9,2.15,0.9710627059784763
1.175,1.925,0.9710616499743634
1.0,1.65,0.9710615597033835
0.8,1.425,0.9710604921910729
1.125,2.0,0.9710586329669576
1.1,2.15,0.9710576557256266
1.25,2.05,0.9710575704422135
0.8,1.95,0.9710568505841862
0.825,2.125,0.9710565482702198
1.15,2.275,0.9710562190544199
1.125,2.225,0.9710562190544199
1.175,2.275,0.9710558648795052
1.1,2.125,0.9710550128646833
0.85,1.4,0.971054924126768
1.25,2.175,0.971054199259893
0.85,1.5,0.9710541958053907
0.8,1.55,0.9710527925566487
1.175,2.125,0.971052264748779
1.075,1.875,0.9710500294567632
0.95,2.3,0.9710497924546618
1.175,2.1,0.9710496218878357
0.925,1.525,0.9710492308359541
0.8,1.45,0.9710491924259226
1.15,2.025,0.9710490187929675
1.125,1.975,0.9710490187929675
1.075,1.925,0.9710483438656029
1.2,2.175,0.9710477592092182
0.95,2.275,0.9710471495937186
1.15,2.0,0.9710463759320241
1.15,2.05,0.9710446903408639
1.175,2.3,0.9710445651143549
1.15,2.225,0.9710439620194866
